web_scraper_order,web_scraper_start_url,Name,price,adress,image_link
"1765122076-94","https://sn.coinafrique.com/categorie/moutons?page=15","Femelle ladoum","700 000CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-1599587"
"1765122076-95","https://sn.coinafrique.com/categorie/moutons?page=15","Femelle ladoum","700 000CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-1599357"
"1765122076-96","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton ladoum","700 000CFA","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1594060"
"1765122076-97","https://sn.coinafrique.com/categorie/moutons?page=15","Brebis","Prix sur demande","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/brebis-1584173"
"1765122076-98","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum","2 000 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-1569276"
"1765122076-99","https://sn.coinafrique.com/categorie/moutons?page=15","Bali bali","300 000CFA","Koumpentoum, Sénégal","https://sn.coinafrique.com/annonce/moutons/bali-bali-1568450"
"1765122076-100","https://sn.coinafrique.com/categorie/moutons?page=15","Bali bali","300 000CFA","Koumpentoum, Sénégal","https://sn.coinafrique.com/annonce/moutons/bali-bali-1568440"
"1765122076-101","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum pur sang","2 500 000CFA","Kaffrine, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1560181"
"1765122076-102","https://sn.coinafrique.com/categorie/moutons?page=15","Azawate pur sang","310 000CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/azawate-pur-sang-1558957"
"1765122076-103","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton métisse","250 000CFA","Guédiawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-metisse-1508083"
"1765122076-104","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum","550 000CFA","Guédiawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-1508049"
"1765122076-105","https://sn.coinafrique.com/categorie/moutons?page=15","Femelle mouton","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-mouton-1496305"
"1765122076-106","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum pur","550 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-pur-1465125"
"1765122076-107","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","350 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1439414"
"1765122076-108","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton ladoum","350 000CFA","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1428061"
"1765122076-109","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton ladoum","300 000CFA","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1428044"
"1765122076-110","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton ladoum","450 000CFA","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1428032"
"1765122076-111","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton ladoum","400 000CFA","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1428014"
"1765122076-112","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","300 000CFA","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1427992"
"1765122076-113","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","45 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1365032"
"1765122076-114","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Pur Ladoum","450 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-pur-ladoum-1344753"
"1765122076-115","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoums femelles","300 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoums-femelles-1325277"
"1765122076-116","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","230 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1318185"
"1765122076-117","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons ladoum","300 000CFA","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-1311660"
"1765122076-118","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons Ladoum","450 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-1277749"
"1765122076-119","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","1 200 000CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1257886"
"1765122076-120","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Femelle","200 000CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-1250492"
"1765122076-121","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","1 800 000CFA","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1244039"
"1765122076-122","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum pur-sang","1 000 000CFA","Guédiawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1232770"
"1765122076-123","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum femelle","900 000CFA","Guédiawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-femelle-1232751"
