web_scraper_order,web_scraper_start_url,Name,price,adress,image_link
"1765116356-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chaton-3254310"
"1765116356-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","740 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/bufs-3253864"
"1765116356-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruche ondulée","15 000CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-3243586"
"1765116356-99","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/bufs-3240329"
"1765116356-100","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chatons 2 et 3 mois","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2-et-3-mois-3222114"
"1765116356-101","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches ondulées","20 000CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-3215371"
"1765116356-102","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","60 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172011"
"1765116356-103","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","60 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172006"
"1765116356-104","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","450 000CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3169679"
"1765116356-105","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cailles","Prix sur demande","Touba, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailles-3169648"
"1765116356-106","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple dinde","Prix sur demande","Touba, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couple-dinde-3169645"
"1765116356-107","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde","Prix sur demande","Touba, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/dinde-3165522"
"1765116356-108","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Paonneau","Prix sur demande","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paonneau-3164991"
"1765116356-109","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Rat","Prix sur demande","Almadies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/rat-3156125"
"1765116356-110","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Poisson vivant","Prix sur demande","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/poisson-vivant-3140939"
"1765116356-111","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","800 000CFA","Bambey, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-3140204"
"1765116356-112","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie géant","85 000CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-geant-3133835"
"1765116356-113","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple colvert","30 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couple-colvert-3127244"
"1765116356-114","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oiseaux exotiques","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-3119376"
"1765116356-115","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple perruches ondulées","100 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couple-perruches-ondulees-3116528"
"1765116356-116","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","300 000CFA","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/vache-3095614"
"1765116356-117","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Trio dindes d’amérique","65 000CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/trio-dindes-damerique-3092550"
"1765116356-118","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple perruche arc en ciel","40 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couple-perruche-arc-en-ciel-3092218"
"1765116356-119","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau - géniteur laitier","2 000 000CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3087054"
"1765116356-120","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","Prix sur demande","Almadies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chaton-3054622"
"1765116356-121","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","650 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3053064"
"1765116356-122","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau géniteur laitier","2 000 000CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3039728"
"1765116356-123","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oisillons","25 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oisillons-3026572"
"1765116356-124","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie adulte","80 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-adulte-3025291"
"1765116356-125","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","800 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3012715"
"1765116356-126","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","425 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/buf-3012014"
"1765116356-127","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Laor noir","35 000CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/laor-noir-3005811"
"1765116356-128","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Porc","2 500CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/porc-3004606"
"1765116356-129","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/buf-2968890"
"1765116356-130","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Angora turque","160 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turque-2966724"
"1765116356-131","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple oie de toulouse adulte","85 000CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couple-oie-de-toulouse-adulte-2936871"
"1765116356-132","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perroquet Sénégal avec cage","35 000CFA","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-senegal-avec-cage-2930350"
"1765116356-133","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Jument arabe","1 500 000CFA","Kébémer, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/jument-arabe-2924412"
"1765116356-134","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches - inséparables","12 500CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-inseparables-2896567"
